"SuperClass","Class","Order","Family","Genus.species","SpecCode","BEl","VEp","REs","OGp","RMl","BLs","PFv","PFs","CPt","MBl","RMn","RMx","TLl","FHa","EHl","LHa","WLa","PCr","REp","EGt"
"Osteichthyes","Teleostei","Cypriniformes","Nemacheilidae","Schistura_incerta",54996,6.91379310344828,0.451149425287356,0.235537190082645,0.0488505747126438,0.750668486092607,0.695402298850575,0.227011494252874,0.170802716258699,1.86301369863014,14.3000001907349,9.32877729717375,1425.26084815017,2.98000001907349,"2","1","1","3","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Nemacheilidae","Schistura_fasciolata",54991,5.88857142857143,0.508571428571429,0.28099173553719,0.22,0.75818282714107,0.691428571428571,0.205714285714286,0.151969527058377,1.73858921161826,12,9.32877729717375,1425.26084815017,2.98000001907349,"2","1","1","3","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Nemacheilidae","Oreonectes_platycephalus",7760,6.93650793650794,0.333333333333333,0.298507462686567,0.742857142857143,0.721101330626602,0.638095238095238,0.336507936507937,0.17542937660249,1.98795180722892,10,16.1986555207176,3116.08317736555,2.6800000667572,"2","0","1","3","1","6","3"
"Osteichthyes","Teleostei","Cypriniformes","Nemacheilidae","Traccatichthys_pulcher",54990,4.31496062992126,0.375984251968504,0.349624060150376,0.604330708661417,0.476436092836011,0.523622047244094,0.393700787401575,0.179020550955005,1.41090909090909,12,14.9256184532942,2912.78932384714,2.72000002861023,"2","1","1","3","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Cyprinidae","Spinibarbus_caldwelli",17293,4.12845849802372,0.490118577075099,0.359649122807018,0.468379446640316,0.576765040407374,0.675889328063241,0.239130434782609,0.174999947213257,2.08536585365854,32.5,4.17279337982949,128.265438309141,3.77999997138977,"2","0","1","2","1","4","2"
"Osteichthyes","Teleostei","Cypriniformes","Cyprinidae","Acrossocheilus_kreyenbergii",55158,3.15737704918033,0.308196721311475,0.35,0.39344262295082,0.388613443106727,0.459016393442623,0.219672131147541,0.218715353838074,2.35652173913043,15.4499998092651,11.4028555709744,2093.50492496872,2.74000000953674,"2","0","2","2","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Cyprinidae","Acrossocheilus_parallens",54938,4.1705069124424,0.428571428571429,0.335714285714286,0.410138248847926,0.451753951452626,0.645161290322581,0.193548387096774,0.170341446208638,2.78947368421053,21,11.6112307144061,2153.90056225915,2.73000001907349,"2","0","2","2","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Cyprinidae","Onychostoma_virgulatum",65185,3.49022801302932,0.364820846905537,0.363363363363363,0.449511400651466,0.445923195342868,0.542345276872964,0.188925081433225,0.226408187216728,2.05,14.5699996948242,13.7780819521255,2691.11833994711,2.75,"2","0","1","2","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Cyprinidae","Onychostoma_brevibarba",NA,4.01058201058201,0.338624338624339,0.370860927152318,0.608465608465608,0.523315012867838,0.532627865961199,0.365079365079365,0.153997966688737,2.76146788990826,21.9851408400385,13.4874275237788,2474.63185641237,2.76869650861885,"2","0","1","2","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Cyprinidae","Onychostoma_lini",54860,4.10869565217391,0.41304347826087,0.349514563106796,0.518115942028985,0.456253295756042,0.559782608695652,0.264492753623188,0.194183818743009,2.16256157635468,25.3199996948242,15.5459315067807,3016.98225777852,2.6800000667572,"2","0","3","3","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Cyprinidae","Folifer_brevifilis",54953,4.66056910569106,0.357723577235772,0.386075949367089,0.382113821138211,0.553001235919392,0.642276422764228,0.138211382113821,0.190155918912834,3.22619047619048,40.5,16.1986555207176,3116.08317736555,2.65000009536743,"2","1","1","3","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Cyprinidae","Barbodes_semifasciolatus",4677,3.35294117647059,0.259515570934256,0.461794019933555,0.42560553633218,0.531249908697924,0.52076124567474,0.179930795847751,0.159268961259701,1.3906976744186,7.57000017166138,13.5098286287612,2633.34491575048,2.76999998092651,"2","0","1","2","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Cyprinidae","Parasinilabeo_maculatus",58406,5.27676240208877,0.391644908616188,0.329317269076305,0.595300261096606,0.59973973269396,0.650130548302872,0.276762402088773,0.181983840613205,3.01092896174863,11.1999998092651,27.500019317502,3917.69878844489,2.42000007629395,"2","0","1","3","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Cyprinidae","Garra_orientalis",14456,3.74089068825911,0.431174089068826,0.263803680981595,0.392712550607287,0.600671146584356,0.659919028340081,0.157894736842105,0.141060541294913,1.41101694915254,20,66.9246566963905,4816.37077428873,2,"2","0","1","3","1","2","3"
"Osteichthyes","Teleostei","Cypriniformes","Cyprinidae","Cyprinus_rubrofuscus",59920,2.73033707865169,0.25561797752809,0.295180722891566,0.417134831460674,0.392861620136877,0.466292134831461,0.176966292134831,0.192196930990426,2.23790322580645,28,6.61207284669776,573.119992587611,3.25999999046326,"2","1","1","3","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Cyprinidae","Carassius_auratus",271,2.74933687002653,0.240053050397878,0.354166666666667,0.392572944297082,0.402687968914694,0.381962864721485,0.175066312997347,0.144952374609256,1.91139240506329,48,13.2487605916607,2574.82072950639,2.77999997138977,"2","1","1","3","1","7","3"
"Osteichthyes","Teleostei","Cypriniformes","Xenocyprididae","Zacco_aff.Acanthogenys",NA,3.46804511278195,0.441729323308271,0.366666666666667,0.827067669172932,0.373231981520051,0.620300751879699,0.357142857142857,0.238396141094436,2.85514018691589,16.6427648355992,8.98268699580999,1104.87939152916,3.10687654083005,"2","0","2","1","1","4","3"
"Osteichthyes","Teleostei","Cypriniformes","Xenocyprididae","Opsariichthys_bidens",27264,4.24050632911392,0.510548523206751,0.354166666666667,0.457805907172996,0.666839369637065,0.708860759493671,0.172995780590717,0.209638777706769,2.34391534391534,26.1000003814697,6.48619043412999,541.182287382556,3.19000005722046,"3","0","2","1","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Xenocyprididae","Zacco_acutipinnis",67554,3.63931888544892,0.431888544891641,0.311475409836066,0.565015479876161,0.299513874503396,0.56656346749226,0.195046439628483,0.292337095569324,3.29319371727749,13,7.18002909686,727.589184798781,3.20000004768372,"3","0","2","1","1","4","3"
"Osteichthyes","Teleostei","Cypriniformes","Xenocyprididae","Mylopharyngodon_piceus",4602,3.83272058823529,0.226102941176471,0.579185520361991,0.520220588235294,0.386632983303782,0.40625,0.176470588235294,0.226795130087244,1.8735632183908,180,7.10243615642215,705.43692235158,3.19000005722046,"3","1","3","3","1","3","1"
"Osteichthyes","Teleostei","Cypriniformes","Xenocyprididae","Ctenopharyngodon_idella",79,3.97727272727273,0.248106060606061,0.376854599406528,0.501893939393939,0.275325510427623,0.638257575757576,0.102272727272727,0.175775573258047,1.51481481481481,150,66.9246566963905,4816.37077428873,2,"1","1","3","2","1","4","2"
"Osteichthyes","Teleostei","Cypriniformes","Xenocyprididae","Squaliobarbus_curriculus",10387,3.99385560675883,0.267281105990783,0.382022471910112,0.41321044546851,0.388665889335667,0.410138248847926,0.267281105990783,0.147412595706002,2.11688311688312,48.7999992370605,15.5459315067807,3016.98225777852,3.23000001907349,"2","1","3","1","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Xenocyprididae","Ochetobius_elongatus",25599,6.22087378640777,0.218446601941748,0.4375,0.317961165048544,0.604760086643204,0.427184466019417,0.184466019417476,0.0868664536875583,2.76190476190476,40,6.02749315886309,430.430079688314,3.22000002861023,"3","1","3","2","1","3","1"
"Osteichthyes","Teleostei","Cypriniformes","Xenocyprididae","Luciobrama_macrocephalus",54895,5.79908675799087,0.244292237442922,0.450980392156863,0.621004566210046,0.548591491967145,0.349315068493151,0.340182648401826,0.113760453949876,2.42857142857143,48,16.8848044402659,3209.66430110062,3.23000001907349,"3","1","3","2","1","4","1"
"Osteichthyes","Teleostei","Cypriniformes","Xenocyprididae","Elopichthys_bambusa",12068,4.89721627408994,0.353319057815846,0.224669603524229,0.490364025695931,0.748652460172789,0.486081370449679,0.209850107066381,0.153481775373279,2.73170731707317,200,23.6975774696248,3759.72344451036,3.33999991416931,"3","0","3","1","1","3","1"
"Osteichthyes","Teleostei","Cypriniformes","Xenocyprididae","Sinibrama_macrops",17289,3.38118811881188,0.214521452145215,0.674509803921569,0.354785478547855,0.432725152129686,0.420792079207921,0.148514851485149,0.363582497149102,1.81188118811881,22.7000007629395,6.881719462807,644.244988359126,3.1800000667572,"1","0","1","1","1","4","3"
"Osteichthyes","Teleostei","Cypriniformes","Xenocyprididae","Pseudolaubuca_sinensis",54783,4.14485165794066,0.204188481675393,0.450980392156863,0.588132635253054,0.501178925398267,0.445026178010471,0.389179755671902,0.206820864049288,2.36842105263158,29.2000007629395,6.74368327687781,607.352211984254,3.20000004768372,"2","0","1","1","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Xenocyprididae","Pseudolaubuca_engraulis",54782,4.59665427509294,0.217472118959108,0.464435146443515,0.522304832713755,0.530655453347921,0.444237918215613,0.319702602230483,0.150477839513993,2.953125,22,6.881719462807,644.244988359126,3.17000007629395,"2","1","1","1","1","3","3"
"Osteichthyes","Teleostei","Cypriniformes","Xenocyprididae","Toxabramis_swinhonis",55396,4.7609649122807,0.239035087719298,0.524663677130045,0.50219298245614,0.740983051685556,0.489035087719298,0.269736842105263,0.187095664236527,2.09090909090909,12,7.34181857891417,774.797863529344,3.13000011444092,"1","0","1","2","1","2","1"
"Osteichthyes","Teleostei","Cypriniformes","Xenocyprididae","Hemiculter_leucisculus",4755,4.21672354948805,0.254266211604096,0.557251908396947,0.527303754266212,0.413994598153496,0.447098976109215,0.453924914675768,0.140908077489506,2.35294117647059,29,14.0536561793703,2748.02706109276,2.75,"2","1","1","1","1","2","3"
"Osteichthyes","Teleostei","Cypriniformes","Xenocyprididae","Hemiculter_bleekeri",22529,4.59962406015038,0.233082706766917,0.616740088105727,0.691729323308271,0.724398406734608,0.426691729323308,0.407894736842105,0.195392951485518,2.19689119170984,25.2000007629395,50.2456683216602,4495.34633752226,2.14000010490417,"2","0","1","1","1","2","1"
"Osteichthyes","Teleostei","Cypriniformes","Xenocyprididae","Hemiculterella_sauvagei",54924,5.25892857142857,0.287946428571429,0.6,0.540178571428571,0.428145585023726,0.502232142857143,0.196428571428571,0.200011962019877,2.18652849740933,14.5,12.9947421041513,2515.66585842195,3.16000008583069,"2","0","1","1","1","4","3"
"Osteichthyes","Teleostei","Cypriniformes","Xenocyprididae","Hemiculterella_wui",56027,4.41884816753927,0.263525305410122,0.562737642585551,0.547993019197208,0.452774924611536,0.458987783595113,0.279232111692845,0.204793207665092,2.98058252427184,17.1000003814697,12.9947421041513,2515.66585842195,3.16000008583069,"2","0","1","1","1","4","3"
