"Basin","Species","Delta_FRic","Delta_FEve","Delta_FDiv","Delta_FRed"
"2","Acheilognathus_polylepis",8.80647310048627e-06,-0.000390111483788202,0.00152593666923839,0.0277639003411032
"2","Acheilognathus_meridianus",1.57021879539248e-06,-0.000358646420300812,0.0018091615444874,0.0274343851510714
"2","Acheilognathus_hypselonotus",4.33019161950056e-05,-0.000267371820623086,-0.00104042741188604,0.00469730970412208
"2","Acanthorhodeus_chankaensis",1.88063066686338e-05,0.000493482142497226,0.0018425069784368,-0.0415731036052431
"2","Acheilognathus_barbatus",6.96566231847374e-08,-0.000412004107016528,0.0017083286917261,0.0299198079070777
"2","Paratanakia_chii",2.6548407662137e-06,-0.000176995025015947,0.00105089194365415,0.0242931671498816
"2","Rhodeus_sinensis",7.63238090541785e-06,0.000532890381437279,0.00146126733175778,-0.0410760642418762
"2","Rhodeus_ocellatus",4.42479520240835e-06,0.000467173453561676,0.00158970943617898,-0.039821512309743
"2","Rhodeus_fangi",2.67999858627834e-06,-0.000344512236951422,0.00126630836943809,0.0277040619236164
"2","Rhodeus_lighti",9.81591245296405e-07,-0.000299003087478544,0.00123166485247217,0.0291846644107885
"2","Hemibarbus_labeo",1.4458475490903e-07,-0.00070113609446093,-0.000569900907832377,0.221158900998434
"2","Hemibarbus_maculatus",9.5977810651204e-08,-0.000773909084469504,-0.0017429615242428,0.273497406304873
"2","Paracanthobrama_guichenoti",5.42965379574141e-06,-0.000262826809744487,-0.00232774094605193,0.208188208356388
"2","Pseudorasbora_parva",1.15674347868859e-05,0.000441515244275104,-0.000920563821250719,0.0121905461413299
"2","Pseudorasbora_elongata",8.73107235075498e-07,-0.000640119271728523,-0.00105052732713506,0.210001453121446
"2","Sarcocheilichthys_sinensis",1.45420925229097e-09,-0.000818414264635747,-0.00161829498161359,0.301401774895
"2","Sarcocheilichthys_parvus",3.51951358762591e-06,-0.000610533036648153,-0.000938562504147145,0.251659756374572
"2","Sarcocheilichthys_nigripinnis",1.07247932356459e-08,-0.00079655860706862,-0.00190146320548201,0.281719165520624
"2","Sarcoheilichthys_vittatus",0,-0.00083631693331282,-0.00135203760506619,0.303758405296151
"2","Sarcoheilichthys_kiangsiensis",0,-0.000778882321201102,-0.00134051710596184,0.250697611100808
"2","Gnathopogon_nicholsi",9.7831927447875e-08,-0.000764161489108295,-0.00201622943899638,0.257332100815328
"2","Gnathopogon_aff.Imberbis",7.82110091113391e-07,-0.000628837333691068,-0.00230303248894792,0.193130053009872
"2","Platysmacheilus_longibarbatus",5.51145306618277e-08,-0.000781306298832274,-0.00121023210061455,0.257470466978564
"2","Microphysogobio_chenhsienensis",2.94477373588921e-09,-0.000776030154793161,-0.000573135902193433,0.251066267006642
"2","Squalidus_argentatus",2.36483508607557e-06,-0.000264407161312152,-0.00229722796965648,0.0356828260450595
"2","Squalidus_wolterstorffi",4.55531048280146e-08,-0.000368401960735565,-0.00225677653760115,0.0302817191659788
"2","Coreius_heterodon",2.28516623218881e-05,0.000387031806223237,0.000251194825492962,0.00499101209010888
"2","Rhinogobio_typus",8.27148769418407e-05,0.00019665619653475,0.00162734819182819,-0.0521572290029209
"2","Rhinogobio_cylindricus",4.56253790278535e-05,-0.000215430398099736,-0.00051806319135661,0.0344623834229694
"2","Abbottina_rivularis",5.0106270352169e-05,0.00091356957079225,-0.000172831115640371,-0.0326199372442328
"2","Microphysogobio_tungtingensis",1.11610560113332e-08,-0.000756666194023703,-0.00062433953453167,0.224169561231111
"2","Microphysogobio_nudiventris",0,-0.000836970214197597,-0.00134162927714399,0.304267650837428
"2","Microphysogobio_zhangi",4.00489228080933e-07,-0.000688028647607974,-0.00111057972159101,0.235700127928705
"2","Microphysogobio_bicolor",1.35121488199746e-06,-0.000616977454295231,-0.000528497069392841,0.196727624498266
"2","Pseudogobio_vaillanti",6.05423666960038e-07,-0.000660200432965052,-0.000477580614242856,0.183962145568891
"2","Saurogobio_dumerili",3.6064389456816e-08,-0.000745985314457909,-0.00122809549239467,0.272877024204675
"2","Saurogobio_dabryi",2.15563981408726e-05,0.00010395380481365,0.000304221707233876,-0.00369200185171437
"2","Saurogobio_gymnocheilus",5.8979091749791e-06,0.000354728752529176,-0.000712810471269698,-0.0384215013290898
"2","Saurogobio_punctatus",1.33347352911951e-06,-0.000660338078169231,-0.000156334443500494,0.223329945478872
"2","Saurogobio_xiangjiangensis",1.34514355836915e-08,-0.000742110495993376,-0.000305318718836434,0.244575948476941
"2","Saurogobio_gracilicaudatus",3.47119748521854e-07,-0.000719793180499584,-0.000137223331522107,0.235252181540265
"2","Gobiobotia_meridionalis",1.53928049354999e-07,-0.000794644879918427,-0.000851430106942885,0.271433829066595
"2","Gobiobotia_tungi",1.43603163663733e-08,-0.00075830729699311,-0.000453160885819037,0.246386075055094
"2","Gobiobotia_kolleri",9.56687911850922e-07,-0.000345638147248251,-0.000756555417477989,0.0325979146396733
"2","Rhynchocypris_oxycephala",9.24877084457057e-08,-0.000714393695307181,-0.00219214968028669,0.297999897926282
"2","Tachysurus_sinensis",5.38057423347659e-06,0.0006711127670605,0.000617813542896806,-0.0421099308978548
"2","Tachysurus_eupogon",1.98717694325561e-07,-0.000494312590072099,-0.000447555465722616,0.0600625464781501
"2","Tachysurus_vachellii",1.97227129841963e-07,-0.000498367991069504,-0.000243044047498642,0.0540193946342136
"2","Tachysurus_nitidus",2.4621762179008e-05,0.000662159569654486,0.000994848056219522,-0.0472686386247965
"2","Tachysurus_dumerili",1.56619063576364e-05,0.00117412728005434,0.000608281610917749,-0.0371428072477844
"2","Tachysurus_crassilabris",6.18038932223662e-10,-0.00053513707145092,-0.000267325485921233,0.0587970105958746
"2","Tachysurus_analis",1.42047159763782e-06,-0.000472326719969163,-4.4571652872305e-05,0.0537394781906748
"2","Tachysurus_tenuis",1.67921177885169e-06,-0.000416485985669124,-4.31303757142398e-05,0.0464150969509625
